Date,Time,Open,High,Low,Close,Volume
2021.11.15,19:00,1.25140,1.25324,1.25140,1.25230,4255
2021.11.15,20:00,1.25233,1.25237,1.25092,1.25133,3477
2021.11.15,21:00,1.25131,1.25133,1.25037,1.25108,2824
2021.11.15,22:00,1.25109,1.25200,1.25037,1.25148,3601
2021.11.15,23:00,1.25148,1.25190,1.25078,1.25103,1822
2021.11.16,00:00,1.25099,1.25172,1.25050,1.25081,303
2021.11.16,01:00,1.25088,1.25144,1.25048,1.25143,1158
2021.11.16,02:00,1.25137,1.25165,1.25068,1.25104,1828
2021.11.16,03:00,1.25105,1.25140,1.24916,1.24950,3453
2021.11.16,04:00,1.24951,1.25017,1.24924,1.25004,2929
2021.11.16,05:00,1.25005,1.25019,1.24947,1.25011,1405
2021.11.16,06:00,1.25010,1.25118,1.25010,1.25099,1725
2021.11.16,07:00,1.25099,1.25216,1.25075,1.25190,1853
2021.11.16,08:00,1.25190,1.25199,1.25142,1.25174,1966
2021.11.16,09:00,1.25175,1.25200,1.25126,1.25134,4499
2021.11.16,10:00,1.25132,1.25234,1.25132,1.25205,4672
2021.11.16,11:00,1.25203,1.25342,1.25187,1.25255,3852
2021.11.16,12:00,1.25256,1.25322,1.25254,1.25294,3244
2021.11.16,13:00,1.25294,1.25339,1.25247,1.25270,2848
2021.11.16,14:00,1.25271,1.25434,1.25271,1.25380,3505
2021.11.16,15:00,1.25382,1.25383,1.25215,1.25301,5276
2021.11.16,16:00,1.25302,1.25552,1.25302,1.25470,8275
2021.11.16,17:00,1.25469,1.25511,1.25368,1.25409,6195
2021.11.16,18:00,1.25411,1.25626,1.25388,1.25617,5056
2021.11.16,19:00,1.25617,1.25651,1.25528,1.25582,3865
2021.11.16,20:00,1.25582,1.25594,1.25510,1.25534,2743
2021.11.16,21:00,1.25534,1.25597,1.25517,1.25579,3226
2021.11.16,22:00,1.25580,1.25667,1.25545,1.25633,3350
2021.11.16,23:00,1.25633,1.25673,1.25585,1.25585,2093
2021.11.17,00:00,1.25585,1.25618,1.25454,1.25566,179
2021.11.17,01:00,1.25567,1.25673,1.25567,1.25649,1164
2021.11.17,02:00,1.25650,1.25699,1.25600,1.25679,1976
2021.11.17,03:00,1.25680,1.25682,1.25562,1.25605,2860
2021.11.17,04:00,1.25606,1.25640,1.25574,1.25582,1898
2021.11.17,05:00,1.25583,1.25858,1.25578,1.25763,3523
2021.11.17,06:00,1.25762,1.25777,1.25655,1.25692,2536
2021.11.17,07:00,1.25690,1.25744,1.25652,1.25712,1677
2021.11.17,08:00,1.25714,1.25719,1.25520,1.25532,2722
2021.11.17,09:00,1.25530,1.25579,1.25411,1.25460,5720
2021.11.17,10:00,1.25460,1.25556,1.25394,1.25436,4151
2021.11.17,11:00,1.25435,1.25685,1.25433,1.25647,3249
2021.11.17,12:00,1.25648,1.25732,1.25617,1.25706,2194
2021.11.17,13:00,1.25706,1.25736,1.25649,1.25674,2297
2021.11.17,14:00,1.25674,1.25716,1.25526,1.25552,3054
2021.11.17,15:00,1.25551,1.25939,1.25473,1.25877,5308
2021.11.17,16:00,1.25874,1.25896,1.25729,1.25802,7175
2021.11.17,17:00,1.25803,1.25967,1.25775,1.25930,6005
2021.11.17,18:00,1.25932,1.26036,1.25895,1.25922,4914
2021.11.17,19:00,1.25921,1.26025,1.25896,1.26014,3635
2021.11.17,20:00,1.26014,1.26194,1.25911,1.26098,5072
2021.11.17,21:00,1.26095,1.26216,1.26074,1.26137,3908
2021.11.17,22:00,1.26138,1.26172,1.26004,1.26113,3726
2021.11.17,23:00,1.26113,1.26131,1.26038,1.26066,1505
2021.11.18,00:00,1.26103,1.26145,1.26060,1.26084,842
2021.11.18,01:00,1.26085,1.26147,1.26077,1.26102,1506
2021.11.18,02:00,1.26101,1.26131,1.26031,1.26100,2205
2021.11.18,03:00,1.26102,1.26230,1.26071,1.26219,3955
2021.11.18,04:00,1.26219,1.26219,1.26152,1.26184,3968
2021.11.18,05:00,1.26185,1.26217,1.26166,1.26210,2213
2021.11.18,06:00,1.26209,1.26211,1.26108,1.26131,1971
2021.11.18,07:00,1.26131,1.26150,1.26092,1.26100,1908
2021.11.18,08:00,1.26100,1.26121,1.26035,1.26063,2577
2021.11.18,09:00,1.26062,1.26110,1.25980,1.25996,3740
2021.11.18,10:00,1.25996,1.26181,1.25996,1.26142,3491
2021.11.18,11:00,1.26140,1.26145,1.26012,1.26060,2740
2021.11.18,12:00,1.26059,1.26071,1.25975,1.25980,2936
2021.11.18,13:00,1.25985,1.26037,1.25915,1.26007,2521
2021.11.18,14:00,1.26008,1.26065,1.25938,1.25960,3347
2021.11.18,15:00,1.25961,1.26201,1.25960,1.26199,6058
2021.11.18,16:00,1.26199,1.26327,1.26101,1.26284,6661
2021.11.18,17:00,1.26284,1.26460,1.26252,1.26389,8816
2021.11.18,18:00,1.26389,1.26416,1.26243,1.26285,5503
2021.11.18,19:00,1.26285,1.26298,1.25961,1.26019,5114
2021.11.18,20:00,1.26020,1.26110,1.25988,1.26084,3429
2021.11.18,21:00,1.26084,1.26101,1.25993,1.26011,3190
2021.11.18,22:00,1.26013,1.26080,1.25982,1.25986,3413
2021.11.18,23:00,1.25986,1.26018,1.25943,1.25967,1343
2021.11.19,00:00,1.25991,1.26025,1.25945,1.25992,505
2021.11.19,01:00,1.26002,1.26032,1.25985,1.26030,931
2021.11.19,02:00,1.26030,1.26039,1.25988,1.25996,1787
2021.11.19,03:00,1.25996,1.26023,1.25939,1.25966,2886
2021.11.19,04:00,1.25965,1.25993,1.25944,1.25982,2503
2021.11.19,05:00,1.25983,1.26006,1.25938,1.26001,1476
2021.11.19,06:00,1.26001,1.26012,1.25950,1.26006,1335
2021.11.19,07:00,1.26007,1.26007,1.25930,1.25945,1362
2021.11.19,08:00,1.25944,1.25954,1.25861,1.25911,1900
2021.11.19,09:00,1.25911,1.25952,1.25836,1.25950,3065
2021.11.19,10:00,1.25952,1.26110,1.25931,1.26108,5078
2021.11.19,11:00,1.26110,1.26452,1.26107,1.26429,7956
2021.11.19,12:00,1.26428,1.26549,1.26400,1.26445,6892
2021.11.19,13:00,1.26447,1.26564,1.26427,1.26507,5650
2021.11.19,14:00,1.26506,1.26611,1.26417,1.26550,5173
2021.11.19,15:00,1.26549,1.26589,1.26313,1.26412,6687
2021.11.19,16:00,1.26413,1.26435,1.26099,1.26234,7699
2021.11.19,17:00,1.26234,1.26450,1.26191,1.26395,7036
2021.11.19,18:00,1.26394,1.26415,1.26274,1.26305,5271
2021.11.19,19:00,1.26304,1.26439,1.26248,1.26362,5623
2021.11.19,20:00,1.26361,1.26514,1.26330,1.26504,4040
2021.11.19,21:00,1.26506,1.26600,1.26423,1.26599,3037
2021.11.19,22:00,1.26600,1.26610,1.26457,1.26482,2996
2021.11.19,23:00,1.26482,1.26504,1.26414,1.26423,932
2021.11.22,00:00,1.26390,1.26436,1.26390,1.26403,307
2021.11.22,01:00,1.26414,1.26539,1.26405,1.26534,2081
2021.11.22,02:00,1.26535,1.26569,1.26463,1.26486,2379
2021.11.22,03:00,1.26486,1.26543,1.26410,1.26504,2439
2021.11.22,04:00,1.26502,1.26525,1.26445,1.26479,2932
2021.11.22,05:00,1.26478,1.26515,1.26415,1.26427,1907
2021.11.22,06:00,1.26427,1.26427,1.26365,1.26384,2529
2021.11.22,07:00,1.26385,1.26435,1.26385,1.26395,1428
2021.11.22,08:00,1.26396,1.26430,1.26361,1.26412,2031
2021.11.22,09:00,1.26413,1.26470,1.26352,1.26454,3433
2021.11.22,10:00,1.26453,1.26491,1.26316,1.26406,6220
2021.11.22,11:00,1.26411,1.26426,1.26294,1.26404,3631
2021.11.22,12:00,1.26404,1.26417,1.26322,1.26340,3038
2021.11.22,13:00,1.26340,1.26400,1.26270,1.26365,3259
2021.11.22,14:00,1.26370,1.26382,1.26298,1.26336,3272
2021.11.22,15:00,1.26338,1.26458,1.26321,1.26423,4072
